sku_id,title_clean,primary_world,secondary_worlds,catalog_scope,catalog_caveat,collection_probes_seen,product_url,price_current,price_original,dtc_review_count_visible,dtc_signal_tier,amazon_identity_lane,asin,amazon_rating,amazon_review_count,amazon_sold_by,amazon_probe_quality,claim_gate_summary,marketplace_signal_tier,website_role,design_implication,next_data_action
foldable-learning-tower-montessori-kitchen-tower-log-color,Foldable Learning Tower & Montessori Kitchen Tower (Log Color),Montessori Home & Study,Pretend Play Worlds,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;furniture,https://labebeclub.com/product/foldable-learning-tower-montessori-kitchen-tower-log-color,79.99,109.99,,catalog_only_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
fox-plush-rocker,Fox Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/fox-plush-rocker,119.99,189.99,4,light_dtc_review_signal,identity_whitelist_candidate,B0DSVJB5QH,4.8,69,Labebe Store,usable_pdp_fact_sample,allowed_as_marketing_angle:1;blocked_for_dtc_reuse:1;internal_reference_only:1;manual_review_required:2,moderate_amazon_social_proof,best_seller_grid_and_gift_collection,Build a plush-character collection with birthday/nursery gift framing.,run_claim_gate_then_review_voc_seed_if_whitelisted
highlander-cattle-plush-rocker,Highlander Cattle Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,new-in;rockers-ride-ons,https://labebeclub.com/product/highlander-cattle-plush-rocker,125.99,199.99,6,moderate_dtc_review_signal,blocked_negative_example,B071774PWC,4.6,662,Labebe Store,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,First Steps & Activity,,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/ice-cream-cart-baby-push-walker,65.99,99.99,3,light_dtc_review_signal,blocked_negative_example,B0F8PZ7KZQ,4.6,73,Labebe Store,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
kids-art-table-chair-set-with-easel-3-in-1,Kids Art Table & Chair Set with Easel (3 in 1),First Steps & Activity,Montessori Home & Study,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;new-in,https://labebeclub.com/product/kids-art-table-chair-set-with-easel-3-in-1,125.99,209.99,7,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
kids-coffee-shop-grocery-store-playset,Kids Coffee Shop & Grocery Store Playset,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;pretend-play,https://labebeclub.com/product/kids-coffee-shop-grocery-store-playset,87.99,159.99,5,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
kids-desk-chair-set-with-cork-board-hutch,Kids’ Desk & Chair Set with Cork Board & Hutch,Montessori Home & Study,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture,https://labebeclub.com/product/kids-desk-chair-set-with-cork-board-hutch,179.99,205.99,5,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,navigation_and_room_solution_anchor,"Use for Shop by Room, playroom order, study corner, and parent utility narratives.","recrawl PDP specs, dimensions, materials, care, and safety copy"
kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer & Bookshelf with Bins,Playroom Reset,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;storage-shelving,https://labebeclub.com/product/kids-toy-storage-organizer-bookshelf-with-bins,105.99,,7,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_collection_and_bundle,Use to make the site feel like a room-planning destination rather than a toy grid.,build bundle logic and storage/room fit facts
kids-toy-storage-organizer-with-bins,Kids Toy Storage Organizer with Bins,Playroom Reset,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;storage-shelving,https://labebeclub.com/product/kids-toy-storage-organizer-with-bins,109.99,189.99,5,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_collection_and_bundle,Use to make the site feel like a room-planning destination rather than a toy grid.,build bundle logic and storage/room fit facts
kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,"Kids Wooden Desk & Chair Set with Corkboard, Hutch Storage & Organizer",Montessori Home & Study,Playroom Reset,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture,https://labebeclub.com/product/kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,179.99,209.99,11,strong_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,navigation_and_room_solution_anchor,"Use for Shop by Room, playroom order, study corner, and parent utility narratives.","recrawl PDP specs, dimensions, materials, care, and safety copy"
labrador-plush-rocker,Labrador Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/labrador-plush-rocker,119.99,179.99,3,light_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
learning-tower-montessori-kitchen-tower-gray,Learning Tower & Montessori Kitchen Tower (Gray),Montessori Home & Study,Pretend Play Worlds,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-gray,55.99,99.99,,catalog_only_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
learning-tower-montessori-kitchen-tower-gray-eu,Learning Tower & Montessori Kitchen Tower (Gray) EU,Montessori Home & Study,Pretend Play Worlds,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-gray-eu,86.05,116.92,2,regional_variant_do_not_hero,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,do_not_hero,Keep regional variants out of main US merchandising until locale/fulfillment is explicit.,regional_scope_review
learning-tower-montessori-kitchen-tower-log-color,Learning Tower & Montessori Kitchen Tower (Log Color),Montessori Home & Study,Pretend Play Worlds,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-log-color,76.69,105.23,,catalog_only_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design),Montessori Home & Study,Pretend Play Worlds,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-unicorn-design,59.99,109.99,,catalog_only_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
learning-tower-montessori-kitchen-tower-white,Learning Tower & Montessori Kitchen Tower (White),Montessori Home & Study,Pretend Play Worlds,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-white,55.99,99.99,,catalog_only_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
learning-tower-montessori-kitchen-tower-white-eu,Learning Tower & Montessori Kitchen Tower (White) EU,Montessori Home & Study,Pretend Play Worlds,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-white-eu,81.61,105.23,3,regional_variant_do_not_hero,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,do_not_hero,Keep regional variants out of main US merchandising until locale/fulfillment is explicit.,regional_scope_review
learning-tower-montessori-kitchen-tower-with-slide,Learning Tower & Montessori Kitchen Tower with Slide,Montessori Home & Study,Pretend Play Worlds,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-with-slide,107.18,135.39,3,light_dtc_review_signal,retry_or_provider_required,B0FMRDDRZK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
llama-plush-rocker,Llama Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,rockers-ride-ons,https://labebeclub.com/product/llama-plush-rocker,105.99,189.99,7,moderate_dtc_review_signal,identity_whitelist_candidate,B07MFXJ28Y,4.7,358,Labebe Store,usable_pdp_fact_sample,blocked_for_dtc_reuse:3;manual_review_required:2,moderate_amazon_social_proof,best_seller_grid_and_gift_collection,Build a plush-character collection with birthday/nursery gift framing.,run_claim_gate_then_review_voc_seed_if_whitelisted
magnetic-easel-with-deluxe-art-supplies-colorful,Magnetic Easel with Deluxe Art Supplies – Colorful,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all;new-in,https://labebeclub.com/product/magnetic-easel-with-deluxe-art-supplies-colorful,93.99,119.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
magnetic-easel-with-deluxe-art-supplies-pink,Magnetic Easel with Deluxe Art Supplies – Pink,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all;new-in,https://labebeclub.com/product/magnetic-easel-with-deluxe-art-supplies-pink,93.99,119.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
magnetic-easel-with-deluxe-art-supplies-purple,Magnetic Easel with Deluxe Art Supplies – Purple,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all,https://labebeclub.com/product/magnetic-easel-with-deluxe-art-supplies-purple,95.99,119.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
mammoth-plush-rocker,Mammoth Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/mammoth-plush-rocker,119.99,199.99,3,light_dtc_review_signal,retry_or_provider_required,B07Z3DXVQT,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,new-in;pretend-play,https://labebeclub.com/product/midnight-serenity-wooden-play-kitchen-set,129.99,199.99,10,strong_dtc_review_signal,blocked_negative_example,B0FH1KX7XQ,4.4,25,Pretty valley,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
natural-wood-montessori-shelf-with-storage-boxes,Natural Wood Montessori Shelf with Storage Boxes,Montessori Home & Study,Playroom Reset,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;storage-shelving,https://labebeclub.com/product/natural-wood-montessori-shelf-with-storage-boxes,114.99,,9,strong_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,navigation_and_room_solution_anchor,"Use for Shop by Room, playroom order, study corner, and parent utility narratives.","recrawl PDP specs, dimensions, materials, care, and safety copy"
outdoor-garden-potting-bench-table,Outdoor Garden - Potting Bench Table,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,new-in;pretend-play,https://labebeclub.com/product/outdoor-garden-potting-bench-table,139.99,,4,light_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
outdoor-mud-kitchen-yellow,Outdoor Mud Kitchen - Yellow,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,new-in;pretend-play,https://labebeclub.com/product/outdoor-mud-kitchen-yellow,129.99,189.99,5,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
panda-baby-push-walker,Panda Baby Push Walker,First Steps & Activity,,site_all_only,Observed on all-products page only; needs category placement confirmation.,all,https://labebeclub.com/product/panda-baby-push-walker,66.64,74.82,,catalog_only_signal,blocked_negative_example,B0D6YX3XG1,4.5,132,Pretty valley,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
pink-unicorn-plush-rocker,Pink Unicorn Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;rockers-ride-ons,https://labebeclub.com/product/pink-unicorn-plush-rocker,109.99,,18,strong_dtc_review_signal,identity_whitelist_candidate,B072LXVM36,4.7,2657,Labebe Store,usable_pdp_fact_sample,blocked_for_dtc_reuse:1;manual_review_required:4,strong_amazon_social_proof,homepage_hero_or_best_seller,"Use as proof-rich giftable hero, but keep Amazon proof internal unless approved for public copy.",prepare_pdp_story_and_review_voc_after_authorized_crawl
princess-vanity-set-with-stool-and-lights,Princess Vanity Set with Stool and Lights,Pretend Play Worlds,Playroom Reset,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;furniture,https://labebeclub.com/product/princess-vanity-set-with-stool-and-lights,119.99,199.99,3,light_dtc_review_signal,retry_or_provider_required,B0FLD8TWWN,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
rubber-wood-corner-cabinet,Rubber Wood Corner Cabinet,Playroom Reset,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;new-in;storage-shelving,https://labebeclub.com/product/rubber-wood-corner-cabinet,79.99,119.99,1,light_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_collection_and_bundle,Use to make the site feel like a room-planning destination rather than a toy grid.,build bundle logic and storage/room fit facts
rubber-wood-montessori-shelf,Rubber Wood Montessori Shelf,Montessori Home & Study,Playroom Reset,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,furniture;new-in;storage-shelving,https://labebeclub.com/product/rubber-wood-montessori-shelf,139.99,189.99,7,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,navigation_and_room_solution_anchor,"Use for Shop by Room, playroom order, study corner, and parent utility narratives.","recrawl PDP specs, dimensions, materials, care, and safety copy"
shark-activity-wall-busy-board-panel,Shark Activity Wall Busy Board Panel,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all,https://labebeclub.com/product/shark-activity-wall-busy-board-panel,99.99,139.99,2,light_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
sheep-plush-rocker,Sheep Plush Rocker,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,rockers-ride-ons,https://labebeclub.com/product/sheep-plush-rocker,109.99,159.99,3,light_dtc_review_signal,retry_or_provider_required,B0DJ6XM7GK,,,,weak_no_marketplace_social_proof,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
sit-and-spin-wooden-spinner-seat,Sit and Spin Wooden Spinner Seat,First Steps & Activity,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all,https://labebeclub.com/product/sit-and-spin-wooden-spinner-seat,55.99,79.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,family_collection_not_exact_marketplace_claim,"Show this as a real DTC family, but avoid exact Amazon proof until variant gates are resolved.",build variant map and retry/provider identity capture
stylish-wooden-kids-kitchen-playset,Stylish Wooden Kids Kitchen Playset,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;pretend-play,https://labebeclub.com/product/stylish-wooden-kids-kitchen-playset,119.99,215.99,4,light_dtc_review_signal,blocked_negative_example,B0FH1KX7XQ,4.4,25,Pretty valley,usable_pdp_fact_sample,,blocked_wrong_match,dtc_visible_marketplace_blocked,"The product can remain in DTC merchandising, but the current Amazon candidate is a known wrong match.",keep_negative_example_and_restart_asin_discovery
tool-bench-baby-push-walker-eu,Tool Bench Baby Push Walker(EU),First Steps & Activity,,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,all,https://labebeclub.com/product/tool-bench-baby-push-walker-eu,69.8,93.53,,regional_variant_do_not_hero,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,do_not_hero,Keep regional variants out of main US merchandising until locale/fulfillment is explicit.,regional_scope_review
white-swan-plush-rocker,White Swan Plush Rocker From,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,rockers-ride-ons,https://labebeclub.com/product/white-swan-plush-rocker,139.99,179.99,6,moderate_dtc_review_signal,identity_whitelist_candidate,B0BVR63LRR,4.8,560,Labebe Store,usable_pdp_fact_sample,,strong_amazon_social_proof,homepage_hero_or_best_seller,"Use as proof-rich giftable hero, but keep Amazon proof internal unless approved for public copy.",prepare_pdp_story_and_review_voc_after_authorized_crawl
wooden-bakery-toy-food-playset,Wooden Bakery Toy Food Playset,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,pretend-play,https://labebeclub.com/product/wooden-bakery-toy-food-playset,36.99,,6,moderate_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,Wooden Mud Kitchen with Planter Box,Pretend Play Worlds,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,all;pretend-play,https://labebeclub.com/product/wooden-mud-kitchen-outdoor-play-kitchen-with-planter-box-sink,109.99,169.99,1,light_dtc_review_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
wooden-rainbow-rocking-chair,Wooden Rainbow Rocking Chair,Giftable Rockers,Montessori Home & Study,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,activity-educational-toys;all;new-in;rockers-ride-ons,https://labebeclub.com/product/wooden-rainbow-rocking-chair,69.99,99.99,,catalog_only_signal,no_marketplace_identity_yet,,,,,,,no_marketplace_identity_yet,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
wooden-rocking-horse,Wooden Rocking Horse,Giftable Rockers,,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,rockers-ride-ons,https://labebeclub.com/product/wooden-rocking-horse,65.99,99.99,,catalog_only_signal,retry_or_provider_required,B0DSZXRZZ1,,,,weak_blank_or_incomplete,,marketplace_retry_required,supporting_catalog_item,Keep visible in collection grids; do not overclaim or hero until facts improve.,collect PDP/spec/media facts in next crawl
