sku_id,asin,identity_lane,next_action,human_review_status,promotion_lane,amazon_url,pdp_title,pdp_price,pdp_rating,pdp_review_count,bought_past_month,sold_by,ships_from,probe_quality,source_screenshot,claim_gate_required,review_crawl_allowed_now,public_copy_allowed,note
sheep-plush-rocker,B0DJ6XM7GK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0DJ6XM7GK,"Amazon.com: labebe - Baby Sheep Rocking Horse, Kids Plush Stuffed Rocking Animals, Ovis Aries Rocker with Seatbelt for 6 Months Babies, White Romney Rocking Horse for Toddler 1-3 Age Girl : Toys & Games","JPY19,109",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0DJ6XM7GK_structured.png,yes,no,no,"PDP text suggests Sheep, but the captured Amazon image is an unrelated storefront/banner; retry needed."
fox-plush-rocker,B0DSVJB5QH,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B0DSVJB5QH,"labebe - Baby Rocking Horse, Brownish Red Fox Rocking Horse with Seat Belt, Plush Animal Rocker for Kids, Stuffed Rocker Toy for Children 6M-3 Years Old Girl&Boy","JPY14,888",4.8,69,50+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0DSVJB5QH_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same Fox rocker.
wooden-rocking-horse,B0DSZXRZZ1,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0DSZXRZZ1,"Amazon.com: labebe - Wooden Rocking Horse, Baby Wooden Ride On Toys for 12M+, White Rocker Toy with Removable Fence, Toddler Riding Toy Indoor/Outdoor, Nursery Birthday Gift : Toys & Games",,,,,,,weak_blank_or_incomplete,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0DSZXRZZ1_structured.png,yes,no,no,PDP capture is weak/blank; no Amazon product image available.
activity-cube-baby-push-walker,B0F8PZ7KZQ,variant_cluster_research,no_exact_sku_claim,human_variant_cluster_not_exact,variant_cluster_review,https://www.amazon.com/dp/B0F8PZ7KZQ,"labebe Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3","JPY8,120",4.6,73,50+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0F8PZ7KZQ_structured.png,yes,no,no,"Both are push walkers, but the Amazon image is a different doll-stroller/activity variant."
farm-themed-baby-push-walker,B0F8PZ7KZQ,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B0F8PZ7KZQ,"labebe Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3","JPY8,120",4.6,73,50+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0F8PZ7KZQ_structured.png,yes,no,no,Amazon image is not the farm-themed walker.
ice-cream-cart-baby-push-walker,B0F8PZ7KZQ,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B0F8PZ7KZQ,"labebe Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3","JPY8,120",4.6,73,50+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0F8PZ7KZQ_structured.png,yes,no,no,Amazon image is not the ice-cream-cart walker.
doll-stroller-baby-push-walker,B0F8PZ7KZQ,variant_cluster_research,no_exact_sku_claim,human_variant_cluster_probable,variant_cluster_review,https://www.amazon.com/dp/B0F8PZ7KZQ,"labebe Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3","JPY8,120",4.6,73,50+ bought in past month,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0F8PZ7KZQ_structured.png,yes,no,no,"Amazon image appears to be a close doll-stroller/activity variant, but accessories and visual details differ; provider verification required."
cream-wooden-play-kitchen-set-with-storage,B0FH1KX7XQ,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B0FH1KX7XQ,"labebe Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play","JPY20,701",4.4,25,50+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FH1KX7XQ_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same cream wooden play kitchen.
midnight-serenity-wooden-play-kitchen-set,B0FH1KX7XQ,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B0FH1KX7XQ,"labebe Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play","JPY20,701",4.4,25,50+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FH1KX7XQ_structured.png,yes,no,no,"Amazon image is the cream kitchen, not the black Midnight Serenity kitchen."
stylish-wooden-kids-kitchen-playset,B0FH1KX7XQ,blocked_negative_example,do_not_use,human_rejected_wrong_variant,blocked_negative_training,https://www.amazon.com/dp/B0FH1KX7XQ,"labebe Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play","JPY20,701",4.4,25,50+ bought in past month,Pretty valley,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FH1KX7XQ_structured.png,yes,no,no,"Amazon image is the cream kitchen, not the gray/white Stylish kitchen."
princess-vanity-set-with-stool-and-lights,B0FLD8TWWN,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FLD8TWWN,"Amazon.com: labebe Kids Vanity, Girls Vanity Desk with LED Changing Lights, Pretend Play Princess Vanity Set, Wooden Toddler Makeup Desk Dressing Table with Drawer and Chair (White) : Home & Kitchen",$99.99,,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FLD8TWWN_structured.png,yes,no,no,Title suggests a vanity match but product image/social-proof capture is weak; retry or provider extraction required.
learning-tower-montessori-kitchen-tower-unicorn-design,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
learning-tower-montessori-kitchen-tower-gray,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
learning-tower-montessori-kitchen-tower-white,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
learning-tower-montessori-kitchen-tower-with-slide,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
foldable-learning-tower-montessori-kitchen-tower-log-color,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
learning-tower-montessori-kitchen-tower-log-color,B0FMRDDRZK,retry_or_provider_required,no_review_crawl,human_retry_required,provider_or_pdp_retry,https://www.amazon.com/dp/B0FMRDDRZK,"Amazon.com: labebe Toddler Standing Tower for 12M+, Montessori Foldable Learning Standing Tower with Blackboard, Anti-tip Structure Design,Wooden Kitchen Step Helper Stool for 1-3 Year Old Boy Girl Gift : Home & Kitchen","JPY7,961",,,,,,weak_no_marketplace_social_proof,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FMRDDRZK_structured.png,yes,no,no,Learning tower text exists but Amazon image capture is a storefront/banner; retry required.
blue-squirrel-plush-rocker,B0FSQ48N93,identity_whitelist_candidate,eligible_after_claim_gate,human_confirmed_same_product,eligible_for_identity_promotion,https://www.amazon.com/dp/B0FSQ48N93,"labebe Baby Rocking Horse, Blue Squirrel Rocking Horse for Toddler 1-3 Age Boy&Girl, Plush Rocking Squirrel with Seatbelt for 6 Months Babies, Children Ride-on Toy Wooden Animal Rocker","JPY13,614",4.9,77,,Labebe Store,Amazon,usable_pdp_fact_sample,/vol1/1000/projects/toyresearch/qa/marketplace_probe/amazon_B0FSQ48N93_structured.png,yes,authorized_pipeline_only,no,DTC and Amazon images show the same Blue Squirrel rocker.
